,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
2,1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2
3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,3,1,3,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,1
5,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
6,1,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2
7,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2
8,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1
9,1,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2
10,0,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1
11,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2
12,1,0,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1
13,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
14,0,2,0,1,3,0,1,1,1,1,0,0,1,0,0,0,0,1,0,2,1
15,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
16,3,2,2,1,3,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,1
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2
21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1
22,1,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2
23,1,1,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,2
24,1,0,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2
25,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1
26,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2
27,0,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,2
28,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
29,0,0,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,1,3,3
30,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,2
31,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,0,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2
33,0,1,0,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,1,4,4
34,1,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2
35,0,2,1,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,1,3,3
36,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
37,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
38,0,2,1,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,1,3,3
39,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
40,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
41,0,1,1,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,4,4
42,0,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0
43,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,1
44,0,0,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,2
45,0,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1
46,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
47,0,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,2
